Product Key,Order Date Key,Reseller Key,Employee Key,Promotion Key,Unit Price,Product Standard Cost,Total Product Cost,Sales Amount,Tax Amt,Freight
342,20180105,227,288,1,419.46,413.15,2065.73,2097.29,167.78,52.43
272,20180105,227,288,1,183.94,181.49,362.97,367.88,29.43,9.20
315,20180105,227,288,1,874.79,884.71,3538.83,3499.18,279.93,87.48
262,20180105,227,288,1,183.94,181.49,544.46,551.81,44.15,13.80
326,20180105,227,288,1,419.46,413.15,2065.73,2097.29,167.78,52.43
332,20180105,227,288,1,419.46,413.15,1239.44,1258.38,100.67,31.46
338,20180105,227,288,1,419.46,413.15,826.29,838.92,67.11,20.97
314,20180105,227,288,1,2146.96,2171.29,2171.29,2146.96,171.76,53.67
317,20180105,227,288,1,874.79,884.71,884.71,874.79,69.98,21.87
328,20180105,227,288,1,419.46,413.15,1239.44,1258.38,100.67,31.46
275,20180105,227,288,1,356.90,352.14,352.14,356.90,28.55,8.92
319,20180105,227,288,1,874.79,884.71,5308.25,5248.76,419.90,131.22
270,20180105,227,288,1,183.94,181.49,181.49,183.94,14.72,4.60
253,20180105,227,288,1,178.58,176.20,528.60,535.74,42.86,13.39
310,20180105,227,288,1,2146.96,2171.29,2171.29,2146.96,171.76,53.67
322,20180105,227,288,1,419.46,413.15,1239.44,1258.38,100.67,31.46
264,20180105,227,288,1,183.94,181.49,181.49,183.94,14.72,4.60
276,20180105,227,288,1,356.90,352.14,352.14,356.90,28.55,8.92
285,20180105,227,288,1,178.58,176.20,176.20,178.58,14.29,4.46
334,20180105,227,288,1,419.46,413.15,1239.44,1258.38,100.67,31.46
316,20180105,227,288,1,874.79,884.71,884.71,874.79,69.98,21.87
322,20180105,510,282,1,419.46,413.15,413.15,419.46,33.56,10.49
345,20180105,397,286,1,2039.99,1912.15,1912.15,2039.99,163.20,51.00
348,20180105,397,286,1,2024.99,1898.09,7592.38,8099.98,648.00,202.50
229,20180105,397,286,1,28.84,31.72,31.72,28.84,2.31,0.72
235,20180105,397,286,1,28.84,31.72,31.72,28.84,2.31,0.72
350,20180105,397,286,1,2024.99,1898.09,3796.19,4049.99,324.00,101.25
344,20180105,397,286,1,2039.99,1912.15,5736.46,6119.98,489.60,153.00
346,20180105,397,286,1,2039.99,1912.15,1912.15,2039.99,163.20,51.00
351,20180105,397,286,1,2024.99,1898.09,1898.09,2024.99,162.00,50.62
220,20180105,146,289,1,20.19,12.03,24.06,40.37,3.23,1.01
346,20180105,146,289,1,2039.99,1912.15,1912.15,2039.99,163.20,51.00
212,20180105,146,289,1,20.19,12.03,12.03,20.19,1.61,0.50
232,20180105,146,289,1,28.84,31.72,63.45,57.68,4.61,1.44
350,20180105,146,289,1,2024.99,1898.09,3796.19,4049.99,324.00,101.25
223,20180105,146,289,1,5.19,5.71,11.41,10.37,0.83,0.26
348,20180105,146,289,1,2024.99,1898.09,3796.19,4049.99,324.00,101.25
351,20180105,146,289,1,2024.99,1898.09,1898.09,2024.99,162.00,50.62
218,20180105,146,289,1,5.70,3.40,20.38,34.20,2.74,0.86
349,20180105,146,289,1,2024.99,1898.09,1898.09,2024.99,162.00,50.62
330,20180105,511,282,1,419.46,413.15,413.15,419.46,33.56,10.49
314,20180105,511,282,1,2146.96,2171.29,2171.29,2146.96,171.76,53.67
275,20180105,511,282,1,356.90,352.14,352.14,356.90,28.55,8.92
317,20180105,511,282,1,874.79,884.71,884.71,874.79,69.98,21.87
338,20180105,511,282,1,419.46,413.15,826.29,838.92,67.11,20.97
334,20180105,511,282,1,419.46,413.15,413.15,419.46,33.56,10.49
219,20180105,646,283,1,5.70,3.40,10.19,17.10,1.37,0.43
346,20180105,646,283,1,2039.99,1912.15,1912.15,2039.99,163.20,51.00
351,20180105,646,283,1,2024.99,1898.09,1898.09,2024.99,162.00,50.62
348,20180105,646,283,1,2024.99,1898.09,1898.09,2024.99,162.00,50.62
317,20180105,514,288,1,874.79,884.71,2654.12,2624.38,209.95,65.61
314,20180105,514,288,1,2146.96,2171.29,4342.59,4293.92,343.51,107.35
322,20180105,514,288,1,419.46,413.15,2892.02,2936.21,234.90,73.41
332,20180105,514,288,1,419.46,413.15,2478.88,2516.75,201.34,62.92
232,20180105,514,288,1,28.84,31.72,190.35,173.04,13.84,4.33
272,20180105,514,288,1,183.94,181.49,1088.91,1103.63,88.29,27.59
212,20180105,514,288,1,20.19,12.03,24.06,40.37,3.23,1.01
220,20180105,514,288,1,20.19,12.03,24.06,40.37,3.23,1.01
315,20180105,514,288,1,874.79,884.71,1769.42,1749.59,139.97,43.74
223,20180105,514,288,1,5.19,5.71,22.82,20.75,1.66,0.52
270,20180105,514,288,1,183.94,181.49,362.97,367.88,29.43,9.20
316,20180105,514,288,1,874.79,884.71,2654.12,2624.38,209.95,65.61
324,20180105,514,288,1,419.46,413.15,1239.44,1258.38,100.67,31.46
342,20180105,514,288,1,419.46,413.15,826.29,838.92,67.11,20.97
264,20180105,514,288,1,183.94,181.49,544.46,551.81,44.15,13.80
330,20180105,514,288,1,419.46,413.15,826.29,838.92,67.11,20.97
334,20180105,514,288,1,419.46,413.15,826.29,838.92,67.11,20.97
262,20180105,514,288,1,183.94,181.49,362.97,367.88,29.43,9.20
235,20180105,514,288,1,28.84,31.72,31.72,28.84,2.31,0.72
338,20180105,514,288,1,419.46,413.15,826.29,838.92,67.11,20.97
275,20180105,514,288,1,356.90,352.14,1408.56,1427.59,114.21,35.69
319,20180105,514,288,1,874.79,884.71,5308.25,5248.76,419.90,131.22
326,20180105,514,288,1,419.46,413.15,1652.59,1677.84,134.23,41.95
285,20180105,514,288,1,178.58,176.20,528.60,535.74,42.86,13.39
229,20180105,514,288,1,28.84,31.72,126.90,115.36,9.23,2.88
253,20180105,514,288,1,178.58,176.20,528.60,535.74,42.86,13.39
215,20180105,514,288,1,20.19,12.03,12.03,20.19,1.61,0.50
276,20180105,514,288,1,356.90,352.14,1056.42,1070.69,85.66,26.77
328,20180105,514,288,1,419.46,413.15,1239.44,1258.38,100.67,31.46
304,20180105,578,289,1,714.70,617.03,617.03,714.70,57.18,17.87
219,20180105,504,281,1,5.70,3.40,3.40,5.70,0.46,0.14
218,20180105,504,281,1,5.70,3.40,6.79,11.40,0.91,0.29
346,20180105,504,281,1,2039.99,1912.15,3824.31,4079.99,326.40,102.00
349,20180105,504,281,1,2024.99,1898.09,1898.09,2024.99,162.00,50.62
314,20180105,200,289,1,2146.96,2171.29,2171.29,2146.96,171.76,53.67
229,20180105,200,289,1,28.84,31.72,63.45,57.68,4.61,1.44
317,20180105,200,289,1,874.79,884.71,884.71,874.79,69.98,21.87
338,20180105,200,289,1,419.46,413.15,826.29,838.92,67.11,20.97
275,20180105,200,289,1,356.90,352.14,704.28,713.80,57.10,17.84
328,20180105,200,289,1,419.46,413.15,826.29,838.92,67.11,20.97
316,20180105,200,289,1,874.79,884.71,1769.42,1749.59,139.97,43.74
330,20180105,200,289,1,419.46,413.15,826.29,838.92,67.11,20.97
235,20180105,200,289,1,28.84,31.72,31.72,28.84,2.31,0.72
220,20180105,200,289,1,20.19,12.03,12.03,20.19,1.61,0.50
215,20180105,200,289,1,20.19,12.03,12.03,20.19,1.61,0.50
218,20180105,119,288,1,5.70,3.40,20.38,34.20,2.74,0.86
349,20180105,119,288,1,2024.99,1898.09,3796.19,4049.99,324.00,101.25
347,20180105,119,288,1,2039.99,1912.15,1912.15,2039.99,163.20,51.00
315,20180105,618,281,1,874.79,884.71,884.71,874.79,69.98,21.87
232,20180105,618,281,1,28.84,31.72,95.17,86.52,6.92,2.16
270,20180105,618,281,1,183.94,181.49,181.49,183.94,14.72,4.60
324,20180105,618,281,1,419.46,413.15,826.29,838.92,67.11,20.97
326,20180105,618,281,1,419.46,413.15,413.15,419.46,33.56,10.49
285,20180105,618,281,1,178.58,176.20,352.40,357.16,28.57,8.93
342,20180105,618,281,1,419.46,413.15,826.29,838.92,67.11,20.97
223,20180105,618,281,1,5.19,5.71,5.71,5.19,0.41,0.13
215,20180105,618,281,1,20.19,12.03,24.06,40.37,3.23,1.01
220,20180105,618,281,1,20.19,12.03,12.03,20.19,1.61,0.50
212,20180105,618,281,1,20.19,12.03,48.11,80.75,6.46,2.02
319,20180105,83,288,1,874.79,884.71,2654.12,2624.38,209.95,65.61
324,20180105,670,283,1,419.46,413.15,1652.59,1677.84,134.23,41.95
220,20180105,670,283,1,20.19,12.03,60.14,100.93,8.07,2.52
285,20180105,670,283,1,178.58,176.20,352.40,357.16,28.57,8.93
215,20180105,670,283,1,20.19,12.03,12.03,20.19,1.61,0.50
326,20180105,670,283,1,419.46,413.15,826.29,838.92,67.11,20.97
319,20180105,670,283,1,874.79,884.71,1769.42,1749.59,139.97,43.74
223,20180105,670,283,1,5.19,5.71,11.41,10.37,0.83,0.26
315,20180105,670,283,1,874.79,884.71,884.71,874.79,69.98,21.87
232,20180105,670,283,1,28.84,31.72,95.17,86.52,6.92,2.16
349,20180105,17,281,1,2024.99,1898.09,3796.19,4049.99,324.00,101.25
351,20180105,17,281,1,2024.99,1898.09,3796.19,4049.99,324.00,101.25
219,20180105,17,281,1,5.70,3.40,3.40,5.70,0.46,0.14
348,20180105,17,281,1,2024.99,1898.09,5694.28,6074.98,486.00,151.87
218,20180105,17,281,1,5.70,3.40,13.59,22.80,1.82,0.57
232,20180105,679,284,1,28.84,31.72,95.17,86.52,6.92,2.16
314,20180105,679,284,1,2146.96,2171.29,2171.29,2146.96,171.76,53.67
319,20180105,679,284,1,874.79,884.71,884.71,874.79,69.98,21.87
342,20180105,679,284,1,419.46,413.15,413.15,419.46,33.56,10.49
215,20180105,679,284,1,20.19,12.03,24.06,40.37,3.23,1.01
322,20180105,679,284,1,419.46,413.15,1652.59,1677.84,134.23,41.95
332,20180105,679,284,1,419.46,413.15,826.29,838.92,67.11,20.97
328,20180105,679,284,1,419.46,413.15,413.15,419.46,33.56,10.49
223,20180105,679,284,1,5.19,5.71,28.53,25.93,2.07,0.65
212,20180105,679,284,1,20.19,12.03,12.03,20.19,1.61,0.50
315,20180105,679,284,1,874.79,884.71,884.71,874.79,69.98,21.87
270,20180105,679,284,1,183.94,181.49,362.97,367.88,29.43,9.20
322,20180105,203,287,1,419.46,413.15,413.15,419.46,33.56,10.49
285,20180105,203,287,1,178.58,176.20,352.40,357.16,28.57,8.93
332,20180105,203,287,1,419.46,413.15,413.15,419.46,33.56,10.49
275,20180105,203,287,1,356.90,352.14,704.28,713.80,57.10,17.84
326,20180105,203,287,1,419.46,413.15,1239.44,1258.38,100.67,31.46
324,20180105,203,287,1,419.46,413.15,826.29,838.92,67.11,20.97
223,20180105,203,287,1,5.19,5.71,17.12,15.56,1.24,0.39
215,20180105,203,287,1,20.19,12.03,48.11,80.75,6.46,2.02
270,20180105,203,287,1,183.94,181.49,362.97,367.88,29.43,9.20
317,20180105,203,287,1,874.79,884.71,884.71,874.79,69.98,21.87
262,20180105,203,287,1,183.94,181.49,362.97,367.88,29.43,9.20
235,20180105,203,287,1,28.84,31.72,31.72,28.84,2.31,0.72
342,20180105,203,287,1,419.46,413.15,413.15,419.46,33.56,10.49
319,20180105,203,287,1,874.79,884.71,1769.42,1749.59,139.97,43.74
232,20180105,203,287,1,28.84,31.72,63.45,57.68,4.61,1.44
315,20180105,203,287,1,874.79,884.71,884.71,874.79,69.98,21.87
316,20180105,203,287,1,874.79,884.71,884.71,874.79,69.98,21.87
220,20180105,203,287,1,20.19,12.03,36.08,60.56,4.84,1.51
212,20180105,203,287,1,20.19,12.03,12.03,20.19,1.61,0.50
322,20180105,480,284,1,419.46,413.15,413.15,419.46,33.56,10.49
342,20180105,480,284,1,419.46,413.15,826.29,838.92,67.11,20.97
232,20180105,480,284,1,28.84,31.72,63.45,57.68,4.61,1.44
322,20180105,491,287,1,419.46,413.15,1239.44,1258.38,100.67,31.46
317,20180105,491,287,1,874.79,884.71,1769.42,1749.59,139.97,43.74
285,20180105,491,287,1,178.58,176.20,352.40,357.16,28.57,8.93
212,20180105,491,287,1,20.19,12.03,48.11,80.75,6.46,2.02
270,20180105,491,287,1,183.94,181.49,181.49,183.94,14.72,4.60
220,20180105,491,287,1,20.19,12.03,12.03,20.19,1.61,0.50
232,20180105,491,287,1,28.84,31.72,63.45,57.68,4.61,1.44
262,20180105,491,287,1,183.94,181.49,362.97,367.88,29.43,9.20
319,20180105,491,287,1,874.79,884.71,884.71,874.79,69.98,21.87
324,20180105,491,287,1,419.46,413.15,413.15,419.46,33.56,10.49
314,20180105,491,287,1,2146.96,2171.29,4342.59,4293.92,343.51,107.35
215,20180105,491,287,1,20.19,12.03,24.06,40.37,3.23,1.01
332,20180105,491,287,1,419.46,413.15,1239.44,1258.38,100.67,31.46
223,20180105,491,287,1,5.19,5.71,17.12,15.56,1.24,0.39
328,20180105,491,287,1,419.46,413.15,413.15,419.46,33.56,10.49
232,20180105,423,285,1,28.84,31.72,190.35,173.04,13.84,4.33
326,20180105,423,285,1,419.46,413.15,2065.73,2097.29,167.78,52.43
275,20180105,423,285,1,356.90,352.14,352.14,356.90,28.55,8.92
212,20180105,423,285,1,20.19,12.03,12.03,20.19,1.61,0.50
270,20180105,423,285,1,183.94,181.49,181.49,183.94,14.72,4.60
215,20180105,423,285,1,20.19,12.03,24.06,40.37,3.23,1.01
342,20180105,423,285,1,419.46,413.15,1239.44,1258.38,100.67,31.46
272,20180105,423,285,1,183.94,181.49,362.97,367.88,29.43,9.20
319,20180105,423,285,1,874.79,884.71,2654.12,2624.38,209.95,65.61
338,20180105,423,285,1,419.46,413.15,413.15,419.46,33.56,10.49
324,20180105,423,285,1,419.46,413.15,826.29,838.92,67.11,20.97
285,20180105,423,285,1,178.58,176.20,352.40,357.16,28.57,8.93
314,20180105,423,285,1,2146.96,2171.29,2171.29,2146.96,171.76,53.67
229,20180105,423,285,1,28.84,31.72,63.45,57.68,4.61,1.44
330,20180105,423,285,1,419.46,413.15,826.29,838.92,67.11,20.97
322,20180105,423,285,1,419.46,413.15,826.29,838.92,67.11,20.97
317,20180105,423,285,1,874.79,884.71,884.71,874.79,69.98,21.87
235,20180105,423,285,1,28.84,31.72,63.45,57.68,4.61,1.44
220,20180105,423,285,1,20.19,12.03,24.06,40.37,3.23,1.01
262,20180105,423,285,1,183.94,181.49,181.49,183.94,14.72,4.60
223,20180105,423,285,1,5.19,5.71,11.41,10.37,0.83,0.26
319,20180105,486,281,1,874.79,884.71,1769.42,1749.59,139.97,43.74
326,20180105,486,281,1,419.46,413.15,413.15,419.46,33.56,10.49
322,20180105,486,281,1,419.46,413.15,826.29,838.92,67.11,20.97
342,20180105,486,281,1,419.46,413.15,826.29,838.92,67.11,20.97
232,20180105,486,281,1,28.84,31.72,31.72,28.84,2.31,0.72
349,20180105,506,289,1,2024.99,1898.09,3796.19,4049.99,324.00,101.25
232,20180105,506,289,1,28.84,31.72,63.45,57.68,4.61,1.44
346,20180105,506,289,1,2039.99,1912.15,3824.31,4079.99,326.40,102.00
347,20180105,506,289,1,2039.99,1912.15,1912.15,2039.99,163.20,51.00
215,20180105,506,289,1,20.19,12.03,12.03,20.19,1.61,0.50
220,20180105,506,289,1,20.19,12.03,24.06,40.37,3.23,1.01
223,20180105,506,289,1,5.19,5.71,17.12,15.56,1.24,0.39
348,20180105,506,289,1,2024.99,1898.09,7592.38,8099.98,648.00,202.50
350,20180105,506,289,1,2024.99,1898.09,11388.57,12149.96,972.00,303.75
345,20180105,506,289,1,2039.99,1912.15,1912.15,2039.99,163.20,51.00
212,20180105,506,289,1,20.19,12.03,36.08,60.56,4.84,1.51
351,20180105,506,289,1,2024.99,1898.09,9490.47,10124.97,810.00,253.12
218,20180105,506,289,1,5.70,3.40,20.38,34.20,2.74,0.86
315,20180105,549,285,1,874.79,884.71,1769.42,1749.59,139.97,43.74
326,20180105,549,285,1,419.46,413.15,826.29,838.92,67.11,20.97
322,20180105,549,285,1,419.46,413.15,413.15,419.46,33.56,10.49
319,20180105,549,285,1,874.79,884.71,1769.42,1749.59,139.97,43.74
342,20180105,549,285,1,419.46,413.15,413.15,419.46,33.56,10.49
328,20180105,549,285,1,419.46,413.15,413.15,419.46,33.56,10.49
332,20180105,458,285,1,419.46,413.15,1239.44,1258.38,100.67,31.46
328,20180105,458,285,1,419.46,413.15,413.15,419.46,33.56,10.49
315,20180105,458,285,1,874.79,884.71,884.71,874.79,69.98,21.87
262,20180105,458,285,1,183.94,181.49,181.49,183.94,14.72,4.60
319,20180105,344,289,1,874.79,884.71,2654.12,2624.38,209.95,65.61
326,20180105,344,289,1,419.46,413.15,413.15,419.46,33.56,10.49
342,20180105,344,289,1,419.46,413.15,413.15,419.46,33.56,10.49
338,20180105,269,281,1,419.46,413.15,413.15,419.46,33.56,10.49
332,20180105,269,281,1,419.46,413.15,826.29,838.92,67.11,20.97
262,20180105,161,281,1,183.94,181.49,181.49,183.94,14.72,4.60
322,20180105,161,281,1,419.46,413.15,826.29,838.92,67.11,20.97
326,20180105,161,281,1,419.46,413.15,1239.44,1258.38,100.67,31.46
285,20180105,161,281,1,178.58,176.20,176.20,178.58,14.29,4.46
328,20180105,161,281,1,419.46,413.15,413.15,419.46,33.56,10.49
270,20180105,161,281,1,183.94,181.49,362.97,367.88,29.43,9.20
315,20180105,161,281,1,874.79,884.71,1769.42,1749.59,139.97,43.74
319,20180105,161,281,1,874.79,884.71,1769.42,1749.59,139.97,43.74
332,20180105,161,281,1,419.46,413.15,1239.44,1258.38,100.67,31.46
342,20180105,161,281,1,419.46,413.15,413.15,419.46,33.56,10.49
314,20180105,161,281,1,2146.96,2171.29,4342.59,4293.92,343.51,107.35
330,20180105,166,283,1,419.46,413.15,1239.44,1258.38,100.67,31.46
285,20180105,166,283,1,178.58,176.20,352.40,357.16,28.57,8.93
262,20180105,166,283,1,183.94,181.49,362.97,367.88,29.43,9.20
314,20180105,166,283,1,2146.96,2171.29,2171.29,2146.96,171.76,53.67
316,20180105,166,283,1,874.79,884.71,1769.42,1749.59,139.97,43.74
334,20180105,166,283,1,419.46,413.15,1652.59,1677.84,134.23,41.95
342,20180105,166,283,1,419.46,413.15,826.29,838.92,67.11,20.97
322,20180105,166,283,1,419.46,413.15,2892.02,2936.21,234.90,73.41
264,20180105,166,283,1,183.94,181.49,544.46,551.81,44.15,13.80
253,20180105,166,283,1,178.58,176.20,176.20,178.58,14.29,4.46
328,20180105,166,283,1,419.46,413.15,2478.88,2516.75,201.34,62.92
270,20180105,166,283,1,183.94,181.49,362.97,367.88,29.43,9.20
272,20180105,166,283,1,183.94,181.49,362.97,367.88,29.43,9.20
275,20180105,166,283,1,356.90,352.14,704.28,713.80,57.10,17.84
332,20180105,166,283,1,419.46,413.15,2065.73,2097.29,167.78,52.43
338,20180105,166,283,1,419.46,413.15,826.29,838.92,67.11,20.97
324,20180105,166,283,1,419.46,413.15,826.29,838.92,67.11,20.97
319,20180105,166,283,1,874.79,884.71,2654.12,2624.38,209.95,65.61
310,20180105,166,283,1,2146.96,2171.29,4342.59,4293.92,343.51,107.35
326,20180105,166,283,1,419.46,413.15,3718.32,3775.13,302.01,94.38
315,20180105,166,283,1,874.79,884.71,3538.83,3499.18,279.93,87.48
232,20180105,431,281,1,28.84,31.72,31.72,28.84,2.31,0.72
342,20180105,431,281,1,419.46,413.15,413.15,419.46,33.56,10.49
223,20180105,431,281,1,5.19,5.71,11.41,10.37,0.83,0.26
322,20180105,431,281,1,419.46,413.15,826.29,838.92,67.11,20.97
319,20180105,292,283,1,874.79,884.71,884.71,874.79,69.98,21.87
342,20180105,221,287,1,419.46,413.15,2065.73,2097.29,167.78,52.43
262,20180105,221,287,1,183.94,181.49,181.49,183.94,14.72,4.60
315,20180105,221,287,1,874.79,884.71,7077.67,6998.35,559.87,174.96
272,20180105,221,287,1,183.94,181.49,362.97,367.88,29.43,9.20
232,20180105,221,287,1,28.84,31.72,317.24,288.40,23.07,7.21
338,20180105,221,287,1,419.46,413.15,413.15,419.46,33.56,10.49
317,20180105,221,287,1,874.79,884.71,3538.83,3499.18,279.93,87.48
285,20180105,221,287,1,178.58,176.20,352.40,357.16,28.57,8.93
319,20180105,221,287,1,874.79,884.71,7077.67,6998.35,559.87,174.96
215,20180105,221,287,1,20.19,12.03,36.08,60.56,4.84,1.51
326,20180105,221,287,1,419.46,413.15,2478.88,2516.75,201.34,62.92
275,20180105,221,287,1,356.90,352.14,1056.42,1070.69,85.66,26.77
223,20180105,221,287,1,5.19,5.71,34.23,31.12,2.49,0.78
229,20180105,221,287,1,28.84,31.72,126.90,115.36,9.23,2.88
322,20180105,221,287,1,419.46,413.15,2892.02,2936.21,234.90,73.41
316,20180105,221,287,1,874.79,884.71,1769.42,1749.59,139.97,43.74
235,20180105,221,287,1,28.84,31.72,126.90,115.36,9.23,2.88
332,20180105,221,287,1,419.46,413.15,826.29,838.92,67.11,20.97
330,20180105,221,287,1,419.46,413.15,413.15,419.46,33.56,10.49
314,20180105,221,287,1,2146.96,2171.29,4342.59,4293.92,343.51,107.35
334,20180105,221,287,1,419.46,413.15,413.15,419.46,33.56,10.49
253,20180105,221,287,1,178.58,176.20,176.20,178.58,14.29,4.46
324,20180105,221,287,1,419.46,413.15,1239.44,1258.38,100.67,31.46
220,20180105,221,287,1,20.19,12.03,36.08,60.56,4.84,1.51
328,20180105,221,287,1,419.46,413.15,413.15,419.46,33.56,10.49
270,20180105,221,287,1,183.94,181.49,362.97,367.88,29.43,9.20
212,20180105,221,287,1,20.19,12.03,48.11,80.75,6.46,2.02
264,20180105,221,287,1,183.94,181.49,362.97,367.88,29.43,9.20
235,20180105,485,281,1,28.84,31.72,95.17,86.52,6.92,2.16
346,20180105,485,281,1,2039.99,1912.15,1912.15,2039.99,163.20,51.00
218,20180105,485,281,1,5.70,3.40,20.38,34.20,2.74,0.86
212,20180105,485,281,1,20.19,12.03,24.06,40.37,3.23,1.01
344,20180105,485,281,1,2039.99,1912.15,5736.46,6119.98,489.60,153.00
215,20180105,485,281,1,20.19,12.03,24.06,40.37,3.23,1.01
347,20180105,485,281,1,2039.99,1912.15,1912.15,2039.99,163.20,51.00
350,20180105,485,281,1,2024.99,1898.09,5694.28,6074.98,486.00,151.87
345,20180105,485,281,1,2039.99,1912.15,1912.15,2039.99,163.20,51.00
351,20180105,485,281,1,2024.99,1898.09,1898.09,2024.99,162.00,50.62
349,20180105,315,285,1,2024.99,1898.09,5694.28,6074.98,486.00,151.87
344,20180105,315,285,1,2039.99,1912.15,5736.46,6119.98,489.60,153.00
232,20180105,315,285,1,28.84,31.72,63.45,57.68,4.61,1.44
345,20180105,315,285,1,2039.99,1912.15,1912.15,2039.99,163.20,51.00
235,20180105,315,285,1,28.84,31.72,95.17,86.52,6.92,2.16
212,20180105,315,285,1,20.19,12.03,12.03,20.19,1.61,0.50
215,20180105,315,285,1,20.19,12.03,12.03,20.19,1.61,0.50
347,20180105,315,285,1,2039.99,1912.15,1912.15,2039.99,163.20,51.00
346,20180105,315,285,1,2039.99,1912.15,3824.31,4079.99,326.40,102.00
223,20180105,315,285,1,5.19,5.71,5.71,5.19,0.41,0.13
220,20180105,315,285,1,20.19,12.03,60.14,100.93,8.07,2.52
347,20180105,27,285,1,2039.99,1912.15,3824.31,4079.99,326.40,102.00
307,20180105,27,285,1,722.59,623.84,1247.68,1445.19,115.62,36.13
304,20180105,27,285,1,714.70,617.03,617.03,714.70,57.18,17.87
293,20180105,27,285,1,722.59,623.84,623.84,722.59,57.81,18.06
350,20180105,27,285,1,2024.99,1898.09,9490.47,10124.97,810.00,253.12
351,20180105,27,285,1,2024.99,1898.09,11388.57,12149.96,972.00,303.75
218,20180105,27,285,1,5.70,3.40,6.79,11.40,0.91,0.29
348,20180105,27,285,1,2024.99,1898.09,9490.47,10124.97,810.00,253.12
326,20180105,603,285,1,419.46,413.15,413.15,419.46,33.56,10.49
347,20180205,18,281,1,2039.99,1912.15,3824.31,4079.99,326.40,102.00
351,20180205,18,281,1,2024.99,1898.09,3796.19,4049.99,324.00,101.25
293,20180205,18,281,1,722.59,623.84,1247.68,1445.19,115.62,36.13
350,20180205,18,281,1,2024.99,1898.09,9490.47,10124.97,810.00,253.12
307,20180205,18,281,1,722.59,623.84,1247.68,1445.19,115.62,36.13
292,20180205,18,281,1,818.70,706.81,706.81,818.70,65.50,20.47
300,20180205,18,281,1,809.76,699.09,699.09,809.76,64.78,20.24
344,20180205,18,281,1,2039.99,1912.15,3824.31,4079.99,326.40,102.00
218,20180205,18,281,1,5.70,3.40,6.79,11.40,0.91,0.29
349,20180205,18,281,1,2024.99,1898.09,5694.28,6074.98,486.00,151.87
348,20180205,353,288,1,2024.99,1898.09,7592.38,8099.98,648.00,202.50
349,20180205,353,288,1,2024.99,1898.09,3796.19,4049.99,324.00,101.25
350,20180205,353,288,1,2024.99,1898.09,5694.28,6074.98,486.00,151.87
351,20180205,353,288,1,2024.99,1898.09,1898.09,2024.99,162.00,50.62
262,20180205,206,285,1,183.94,181.49,181.49,183.94,14.72,4.60
232,20180205,206,285,1,28.84,31.72,95.17,86.52,6.92,2.16
342,20180205,206,285,1,419.46,413.15,413.15,419.46,33.56,10.49
328,20180205,206,285,1,419.46,413.15,826.29,838.92,67.11,20.97
324,20180205,206,285,1,419.46,413.15,826.29,838.92,67.11,20.97
315,20180205,206,285,1,874.79,884.71,884.71,874.79,69.98,21.87
